Model,Feature Selection Method,ACC,AUC,MCC,F1,Number of Features,Time,MeasuringFS
RandomForest,ReliefF,0.56875,0.5653727422003284,0.13247338381531296,0.6036397741024797,10,396.2100872993469,-2.0
RandomForest,ReliefF,0.588125,0.585927364049068,0.17389004668363853,0.6150501308008068,20,348.5840630531311,-2.0
RandomForest,ReliefF,0.5853125,0.5821452719018643,0.16601327697835142,0.6174252080454152,40,214.56382966041565,-512.0
RandomForest,ReliefF,0.5984375,0.5951368685405197,0.19266025035292336,0.6296352579014193,60,204.41451334953308,-512.0
RandomForest,ReliefF,0.6121875,0.6101199652274703,0.22194850067469551,0.638031181193884,80,210.90496444702148,-512.0
RandomForest,ReliefF,0.6053125,0.6030703177822854,0.20857345040766428,0.6314889691694496,100,173.01085782051086,-512.0
RandomForest,ReliefF,0.583125,0.5797053994011399,0.16122697477783554,0.6145647764103144,5,211.43699765205383,-512.0
RandomForest,ReliefF,0.6028125,0.6000560224089636,0.20344427611770338,0.6315631768813474,120,152.97670817375183,-512.0
RandomForest,ReliefF,0.606875,0.6036130590167101,0.20911740879004992,0.638359460551656,140,149.43584060668945,-512.0
RandomForest,ReliefF,0.5921875,0.5888264271225732,0.1793349885871986,0.6263918025467838,10,28.986775159835815,-512.0
